Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Engineers India Ltd.,ENGINERSIN,Construction,EQ,57,58.95,56.6,57,58.8,1.8,1.8,751759,43752373.8,82.5,56,1.8,1.8
EPL Ltd.,EPL,Capital Goods,EQ,150.1,159.95,149.3,149.15,156.5,7.35,7.35,220028,34181349.8,291,147.15,7.35,7.35
Equitas Holdings Ltd.,EQUITAS,Financial Services,EQ,82.4,83,81.5,82,82.55,0.55,0.55,198014,16282691.22,145,75,0.55,0.55
Equitas Small Finance Bank Ltd.,EQUITASBNK,Financial Services,EQ,39.4,39.5,38.8,39.45,39.5,0.05,0.05,160741,6302654.61,76.8,37.45,0.05,0.05
Eris Lifesciences Ltd.,ERIS,Healthcare,EQ,670.55,670.55,648.45,667.2,651,-16.2,-16.2,8326,5464104.02,863,600.3,-16.2,-16.2
Escorts Kubota Ltd.,ESCORTS,Capital Goods,EQ,1449.95,1471.7,1424.55,1444.8,1467.2,22.4,22.4,489734,708072109.2,1934,1128,22.4,22.4
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components,EQ,137.5,141.95,136.8,137.8,141.95,4.15,4.15,854228,119053756.4,204.9,130.25,4.15,4.15
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals,EQ,96.4,96.4,93.4,96.4,95,-1.4,-1.4,227181,21543574.23,159.9,82.35,-1.4,-1.4
FDC Ltd.,FDC,Healthcare,EQ,239.8,255,233.45,238.65,248,9.35,9.35,40209,9696400.35,388.7,225,9.35,9.35
Federal Bank Ltd.,FEDERALBNK,Financial Services,EQ,90.55,94.35,89.3,90.2,94.05,3.85,3.85,16073373,1482447192,107.65,77.5,3.85,3.85
Finolex Cables Ltd.,FINCABLES,Capital Goods,EQ,374,381.95,371.35,376.3,376.3,0,0,49522,18673755.76,608.6,343.5,0,0
Fine Organic Industries Ltd.,FINEORG,Chemicals,EQ,4804.45,4898.35,4780,4797.9,4840,42.1,42.1,25788,124989020.5,6139.9,2734.55,42.1,42.1
Finolex Industries Ltd.,FINPIPE,Capital Goods,EQ,135.8,137.5,134.1,136.2,137.2,1,1,118082,16022546.58,244.5,125,1,1
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,EQ,2800.25,2807.4,2696.95,2774.95,2755,-19.95,-19.95,44957,124253505.3,3198.9,1034.1,-19.95,-19.95
Fortis Healthcare Ltd.,FORTIS,Healthcare,EQ,236.65,238,232.3,240,235.5,-4.5,-4.5,536057,125769693.3,313.45,219.75,-4.5,-4.5
Firstsource Solutions Ltd.,FSL,Information Technology,EQ,102.5,104.3,101.35,102.9,103.7,0.8,0.8,1265235,130116767.4,242.85,93,0.8,0.8
Gujarat Ambuja Exports Ltd.,GAEL,Fast Moving Consumer Goods,EQ,280,282.6,268.05,282.7,273.15,-9.55,-9.55,245672,67483641.68,394.15,150.05,-9.55,-9.55
GAIL (India) Ltd.,GAIL,Oil Gas & Consumable Fuels,EQ,134.1,136.4,131,135.2,132.6,-2.6,-2.6,10077624,1336595271,173.5,125.2,-2.6,-2.6
Galaxy Surfactants Ltd.,GALAXYSURF,Chemicals,EQ,2934.6,2934.6,2838,2920.05,2849.95,-70.1,-70.1,18915,53998352.85,3585.65,2585,-70.1,-70.1
Garware Technical Fibres Ltd.,GARFIBRES,Textiles,EQ,3093.75,3093.75,2972.35,3078.35,3000.5,-77.85,-77.85,4359,13258639.53,4030,2619.8,-77.85,-77.85
Great Eastern Shipping Co. Ltd.,GESHIP,Services,EQ,395.75,398.9,385,395.6,390.25,-5.35,-5.35,120133,46909533.84,445,265,-5.35,-5.35
General Insurance Corporation of India,GICRE,Financial Services,EQ,114.1,116.4,114.1,115.2,115.95,0.75,0.75,90066,10390013.76,211.5,105,0.75,0.75
Gland Pharma Ltd.,GLAND,Healthcare,EQ,2710,2710,2637.4,2701.7,2641,-60.7,-60.7,129469,344517009,4350,2495.15,-60.7,-60.7
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,EQ,1505,1527,1499,1499.6,1499,-0.6,-0.6,54631,82318537.11,1918.75,1450,-0.6,-0.6
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,EQ,385.2,395,382,386.35,395,8.65,8.65,398227,155165168.3,690.95,348.5,8.65,8.65
Glenmark Life Sciences Ltd.,GLS,Healthcare,EQ,441,444.5,440,444.3,441.8,-2.5,-2.5,15000,6619500,799,410,-2.5,-2.5
GMM Pfaudler Ltd.,GMMPFAUDLR,Capital Goods,EQ,4355,4372,4300.05,4345.6,4330,-15.6,-15.6,14737,64042138.79,5295,3770,-15.6,-15.6
GMR Infrastructure Ltd.,GMRINFRA,Services,EQ,34,34.75,33.6,34.1,34.5,0.4,0.4,4338629,148337725.5,49.15,27.35,0.4,0.4
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Chemicals,EQ,566,582,563.25,571.8,580.5,8.7,8.7,1199375,687769600,912,314.1,8.7,8.7
