Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
JSW Steel Ltd.,JSWSTEEL,Metals & Mining,EQ,556.55,580.5,556.55,564.5,577.5,13,13,3737790,2128073359,790,520.05,13,13
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services,EQ,512.25,545,508.5,512.25,541.15,28.9,28.9,5437843,2894998856,918,451.2,28.9,28.9
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,EQ,485.5,490.85,473.05,485.85,476,-9.85,-9.85,163007,78083613.14,838.75,401.2,-9.85,-9.85
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,EQ,348.8,349,281.8,343.7,340,-3.7,-3.7,71858,23945959.92,767,281.8,-3.7,-3.7
Justdial Ltd.,JUSTDIAL,Consumer Services,EQ,560,569.1,551.05,565.25,558,-7.25,-7.25,194406,108597135.7,1138,520,-7.25,-7.25
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods,EQ,148.35,152.5,147.5,149.65,150,2.85,2.85,771549,115686057.1,187.3,130.15,2.85,2.85
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables,EQ,947.7,965,937.2,947.7,952,4.3,4.3,72125,68652902.5,1374.9,885.3,4.3,4.3
Kalpataru Power Transmission Ltd.,KALPATPOWR,Construction,EQ,354,358.75,353.15,356.7,354.85,-1.85,-1.85,17142,6076667.58,496,331.8,-1.85,-1.85
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables,EQ,58.5,61.8,58.05,59.9,61.3,1.4,1.4,501257,30220784.53,83.6,55.05,1.4,1.4
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Durables,EQ,372.35,375,368.3,370.5,370.05,-0.45,-0.45,269671,99896925.24,675,358.15,-0.45,-0.45
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,EQ,44.95,44.95,43.7,44.95,44.25,-0.7,-0.7,1017461,45022649.25,60.7,38.4,-0.7,-0.7
Kec International Ltd.,KEC,Capital Goods,EQ,393.15,393.15,384.1,391.25,386.1,-5.15,-5.15,149531,57938776.57,550,345.5,-5.15,-5.15
KEI Industries Ltd.,KEI,Capital Goods,EQ,1152.55,1208,1152.5,1152.55,1200,47.45,47.45,340326,406628311.3,1377.35,687.5,47.45,47.45
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,EQ,1182,1233.45,1167,1184.55,1210,25.45,25.45,44951,54397452.65,1565,937.55,25.45,25.45
KNR Constructions Ltd.,KNRCON,Construction,EQ,230.5,236.15,228.75,233.05,235.7,2.65,2.65,58500,13689585,343.9,207.5,2.65,2.65
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,EQ,1645,1679.5,1636,1661.1,1678,16.9,16.9,2300514,3822234996,2253,1626,16.9,16.9
KPIT Technologies Ltd.,KPITTECH,Information Technology,EQ,512,514.95,495.4,517.65,500.9,-16.75,-16.75,940281,471738977.7,801,245.2,-16.75,-16.75
K.P.R. Mill Ltd.,KPRMILL,Textiles,EQ,516,516.4,506.5,515.65,508.5,-7.15,-7.15,121702,62085058.28,769,304,-7.15,-7.15
KRBL Ltd.,KRBL,Fast Moving Consumer Goods,EQ,217,218.8,215.3,217.85,216.7,-1.15,-1.15,62909,13657543.9,337.95,184.5,-1.15,-1.15
L&T Finance Holdings Ltd.,L&TFH,Financial Services,EQ,67,68.95,66.3,67.6,68.8,1.7,1.7,3855009,260752808.8,95.95,58.5,1.7,1.7
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare,EQ,2167.95,2248,2148.45,2160.4,2235.1,74.7,74.7,210696,464932328.4,4245.5,1805.55,74.7,74.7
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,EQ,332,336.8,330.3,333.95,335.15,1.2,1.2,212311,70890642.9,754.9,305.25,1.2,1.2
Laurus Labs Ltd.,LAURUSLABS,Healthcare,EQ,464,467.1,459.5,464.7,466.8,2.1,2.1,443092,205311109.1,723.75,436.8,2.1,2.1
Lakshmi Machine Works Ltd.,LAXMIMACH,Capital Goods,EQ,9050,9068,8876,8981.85,9068,86.15,86.15,1507,13561553.28,11790,6499.95,86.15,86.15
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,EQ,326.9,339.25,319.9,327.35,337,9.65,9.65,2366258,784012263.1,476.55,291.75,9.65,9.65
Linde India Ltd.,LINDEINDIA,Chemicals,EQ,3150,3248,3111,3198.15,3224,25.85,25.85,40600,129405192,4190,1564.1,25.85,25.85
Macrotech Developers Ltd.,LODHA,Realty,EQ,1060.05,1070.95,1045,1069,1068.7,-0.3,-0.3,39067,41512984.87,1539,645,-0.3,-0.3
Larsen & Toubro Ltd.,LT,Construction,EQ,1560.95,1576,1534.6,1558.25,1571.8,13.55,13.55,1294305,2016255386,2078.55,1456.35,13.55,13.55
Larsen & Toubro Infotech Ltd.,LTI,Information Technology,EQ,3945,4015.95,3905.25,3975.45,4000.65,25.2,25.2,268702,1067066695,7588.8,3733.3,25.2,25.2
L&T Technology Services Ltd.,LTTS,Information Technology,EQ,2995,3027.2,2937,3030.8,2984,-46.8,-46.8,364261,1087584996,5955.5,2801,-46.8,-46.8
Lupin Ltd.,LUPIN,Healthcare,EQ,613.1,630.55,608.7,610.95,627.3,16.35,16.35,908035,561083906.9,1191.55,583,16.35,16.35
Lux Industries Ltd.,LUXIND,Textiles,EQ,1754.45,1765,1729.05,1754.45,1740,-14.45,-14.45,15428,26888535.52,4644,1684.85,-14.45,-14.45
Laxmi Organic Industries Ltd.,LXCHEM,Chemicals,EQ,283,287.35,280.6,284.65,287,2.35,2.35,338168,96235849.44,628,219.6,2.35,2.35
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components,EQ,1092.4,1113.35,1064,1093.15,1107,13.85,13.85,2839545,3101862167,1121.45,671.15,13.85,13.85
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services,EQ,176.05,179.7,171.05,175.4,177.2,1.8,1.8,2173337,380899042.6,206.35,128,1.8,1.8
Bank of Maharashtra,MAHABANK,Financial Services,EQ,15.6,15.7,15.5,15.55,15.65,0.1,0.1,892261,13910348.99,26.3,15,0.1,0.1
Mahindra CIE Automotive Ltd.,MAHINDCIE,Automobile and Auto Components,EQ,233,233.1,226.1,233.1,229.95,-3.15,-3.15,276850,63426335,312,163.95,-3.15,-3.15
Mahindra Logistics Ltd.,MAHLOG,Services,EQ,474,474,455,471.65,461,-10.65,-10.65,17972,8287068.92,821,391.1,-10.65,-10.65
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,EQ,84.9,89.6,83.65,85,88.25,3.25,3.25,13581092,1194185420,224.5,81.5,3.25,3.25
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,EQ,1399.9,1421.25,1373.2,1411.9,1407,-4.9,-4.9,83012,116391955.3,1917.4,1128.8,-4.9,-4.9
Marico Ltd.,MARICO,Fast Moving Consumer Goods,EQ,478,493,477.6,477.9,492,14.1,14.1,846365,411604226.8,607.7,455.65,14.1,14.1
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components,EQ,8440,8450,8305.6,8470.75,8399.95,-70.8,-70.8,530569,4440634385,9050,6536.55,-70.8,-70.8
Mastek Ltd.,MASTEK,Information Technology,EQ,2130,2133.05,2081.3,2145,2093,-52,-52,27911,58699624.1,3669,1850.7,-52,-52
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,EQ,364.6,367.05,357,366.95,360.05,-6.9,-6.9,326670,118052004.6,458.05,250.6,-6.9,-6.9
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods,EQ,246.7,249.95,241.55,246.25,249.1,2.85,2.85,68727,16861482.18,342.4,221.1,2.85,2.85
United Spirits Ltd.,MCDOWELL-N,Fast Moving Consumer Goods,EQ,760.5,791.5,754.05,759.75,787.1,27.35,27.35,2124003,1649755610,1019.95,629.1,27.35,27.35
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,EQ,1305.95,1324.45,1275.5,1307.95,1282.95,-25,-25,433916,564494341.9,2135,1143,-25,-25
Medplus Health Services Ltd.,MEDPLUS,Consumer Services,EQ,770,770,750,767.3,750.1,-17.2,-17.2,10669,8052107.68,1343,708,-17.2,-17.2
Metro Brands Ltd.,METROBRAND,Consumer Durables,EQ,600,631.25,600,598.75,617.5,18.75,18.75,582857,359389626.2,673,426,18.75,18.75
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,EQ,1400,1439.95,1397.05,1406.45,1435.1,28.65,28.65,100318,142381337.4,3579.9,1378.05,28.65,28.65
Max Financial Services Ltd.,MFSL,Financial Services,EQ,782.35,808.4,772.15,782.35,802.2,19.85,19.85,320516,254855092.2,1148.05,696.5,19.85,19.85
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels,EQ,760.55,771,757.05,760.6,770.7,10.1,10.1,170132,130261565.8,1212,665.8,10.1,10.1
Mahindra Holidays & Resorts India Ltd.,MHRIL,Consumer Services,EQ,213.5,231,211.1,214.4,227,12.6,12.6,1395618,315423624.2,274.9,165.43,12.6,12.6
Minda Industries Ltd.,MINDAIND,Automobile and Auto Components,EQ,925,947,900,923.15,943.7,20.55,20.55,178456,167143674.2,1257.4,629.15,20.55,20.55
MindTree Ltd.,MINDTREE,Information Technology,EQ,2874,2905.9,2810,2887.05,2890.75,3.7,3.7,582730,1666776792,5060,2457.55,3.7,3.7
MMTC Ltd.,MMTC,Services,EQ,39.4,40.35,38.9,39.2,39.35,0.15,0.15,1476769,58435749.33,64.7,31,0.15,0.15
MOIL Ltd.,MOIL,Metals & Mining,EQ,141.6,142.9,140.7,140.1,141.85,1.75,1.75,95406,13533341.1,201.9,137.3,1.75,1.75
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,EQ,754.1,766,745,766.5,753.3,-10.2,-10.2,27524,20773739,1188,714,-10.2,-10.2
MphasiS Ltd.,MPHASIS,Information Technology,EQ,2279.2,2299.45,2220.1,2294.05,2239.9,-54.15,-54.15,332856,746179938,3659.75,2076.05,-54.15,-54.15
MRF Ltd.,MRF,Automobile and Auto Components,EQ,70300,72500,70300,70800.9,71900,"1,099.10","1,099.10",5409,386007226.9,87550,63000,"1,099.10","1,099.10"
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels,EQ,88.05,91.25,81.55,90.6,81.55,-9.05,-9.05,26739501,2226330853,127.65,37.05,-9.05,-9.05
MTAR Technologies Ltd.,MTARTECH,Capital Goods,EQ,1279,1279,1238.95,1271.25,1241,-30.25,-30.25,104163,130305829.7,2563.3,1010.95,-30.25,-30.25
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,EQ,980,1048.3,977.1,976.3,1039.8,63.5,63.5,1982052,2016083833,1721.95,960.4,63.5,63.5
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,EQ,270.6,273.9,269.05,271.25,272,0.75,0.75,205261,55794045.02,476.45,259,0.75,0.75
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,EQ,652,653,642.7,649.8,647,-2.8,-2.8,48437,31447237.88,1189,607.75,-2.8,-2.8
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining,EQ,68,68.9,67,68.8,68.65,-0.15,-0.15,16360489,1116276164,132.7,67,-0.15,-0.15
Info Edge (India) Ltd.,NAUKRI,Consumer Services,EQ,3771.9,3774,3606,3758.8,3720.65,-38.15,-38.15,413841,1521109841,7465.4,3313,-38.15,-38.15
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,EQ,3665,3696.85,3557.95,3651.6,3675,23.4,23.4,112850,410425293.5,4329,3202.5,23.4,23.4
Nazara Technologies Ltd.,NAZARA,Media Entertainment & Publication,EQ,670,676.9,638.3,671.4,649.9,-21.5,-21.5,302182,197974537.3,1678,475.05,-21.5,-21.5
NBCC (India) Ltd.,NBCC,Construction,EQ,28.5,28.8,28.1,28.4,28.8,0.4,0.4,1801802,51189194.82,55.5,26.55,0.4,0.4
NCC Ltd.,NCC,Construction,EQ,54.05,55.95,53.1,54.1,55.2,1.1,1.1,2281956,124389421.6,98.5,52.2,1.1,1.1
NESCO Ltd.,NESCO,Services,EQ,550,555.5,545.6,550.85,553.6,2.75,2.75,12047,6631150.68,696.8,501.95,2.75,2.75
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,EQ,17400,17829.4,17331.05,17470,17800,330,330,38547,681238432.7,20609.15,16000,330,330
Network18 Media & Investments Ltd.,NETWORK18,Media Entertainment & Publication,EQ,68.2,68.75,66.5,69,67.45,-1.55,-1.55,1455769,98468215.16,117.5,46,-1.55,-1.55
Narayana Hrudayalaya Ltd.,NH,Healthcare,EQ,634.1,644.35,631.5,632.55,640,7.45,7.45,50400,32060448,777,468.3,7.45,7.45
NHPC Ltd.,NHPC,Power,EQ,30.65,31.35,30.6,30.75,30.95,0.2,0.2,6808415,211197033.3,37.6,25.3,0.2,0.2
The New India Assurance Company Ltd.,NIACL,Financial Services,EQ,79.8,80.6,78.15,79.8,78.9,-0.9,-0.9,289192,22805681.12,178.4,78.15,-0.9,-0.9
NLC India Ltd.,NLCINDIA,Power,EQ,63.6,64.25,61.6,63.65,62.75,-0.9,-0.9,2402689,150240143.2,92.4,49.8,-0.9,-0.9
NMDC Ltd.,NMDC,Metals & Mining,EQ,107.15,110,106.35,108.2,109.85,1.65,1.65,5571985,602833057.2,186.9,101.55,1.65,1.65
NOCIL Ltd.,NOCIL,Chemicals,EQ,253.75,254.5,244.35,253.2,247.7,-5.5,-5.5,373166,92500388.08,321.3,190.7,-5.5,-5.5
NTPC Ltd.,NTPC,Power,EQ,142,143.2,139.75,142.9,141.1,-1.8,-1.8,9592229,1355381958,166.35,111.95,-1.8,-1.8
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,EQ,299,307.4,292.5,296.85,305,8.15,8.15,150042,44912071.86,577.9,260.25,8.15,8.15
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services,EQ,1399.8,1420,1381.4,1406.95,1405.05,-1.9,-1.9,143804,201378807.5,2573.7,1207.5,-1.9,-1.9
Oberoi Realty Ltd.,OBEROIRLTY,Realty,EQ,734.35,751,731.35,737.65,740.25,2.6,2.6,563385,418724633.6,1051.9,605.5,2.6,2.6
Oracle Financial Services Software Ltd.,OFSS,Information Technology,EQ,3090.25,3123.9,3044.25,3098.3,3064.05,-34.25,-34.25,61691,188830598.8,5145,2950,-34.25,-34.25
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels,EQ,245.5,249.45,210.05,251.5,214.2,-37.3,-37.3,16490601,3699501428,306,153.1,-37.3,-37.3
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels,EQ,148.95,151.15,130,151.55,131.4,-20.15,-20.15,125788305,17143688088,194.95,108.5,-20.15,-20.15
Orient Electric Ltd.,ORIENTELEC,Consumer Durables,EQ,272.3,274.95,265.1,272.05,274.3,2.25,2.25,43089,11637477.12,408,244,2.25,2.25
Page Industries Ltd.,PAGEIND,Textiles,EQ,40199,41599.9,40124.95,40166.5,41236.6,"1,070.10","1,070.10",13064,535251806.6,46737.7,29119.95,"1,070.10","1,070.10"
One 97 Communications Ltd.,PAYTM,Financial Services,EQ,672.9,675.7,652,675.7,657.7,-18,-18,3069693,2027839196,1955,510.05,-18,-18
PCBL Ltd.,PCBL,Chemicals,EQ,104,106.4,103.05,104.75,104,-0.75,-0.75,547189,57274272.63,138.65,89,-0.75,-0.75
Piramal Enterprises Ltd.,PEL,Financial Services,EQ,1661.5,1682.9,1626.3,1655.7,1672,16.3,16.3,536946,887040161.5,3014.95,1560.1,16.3,16.3
Persistent Systems Ltd.,PERSISTENT,Information Technology,EQ,3385,3422.25,3270.05,3401.8,3329,-72.8,-72.8,234003,777882132.7,4987.5,2725.05,-72.8,-72.8
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels,EQ,215.3,222.4,214.8,217.3,220.6,3.3,3.3,2021428,439842518.5,243.55,190.25,3.3,3.3
Power Finance Corporation Ltd.,PFC,Financial Services,EQ,104.3,106.1,103.2,104.45,105.9,1.45,1.45,2843672,298670870.2,153.75,97.1,1.45,1.45
Pfizer Ltd.,PFIZER,Healthcare,EQ,4105,4117.95,4077.5,4080.35,4103,22.65,22.65,4025,16489096.75,6175,4060,22.65,22.65
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Fast Moving Consumer Goods,EQ,13330,13450,13224.6,13369.15,13450,80.85,80.85,23356,311314226,16448.7,12310.1,80.85,80.85
Procter & Gamble Health Ltd.,PGHL,Healthcare,EQ,4192,4194.25,4102.1,4190.85,4111,-79.85,-79.85,3956,16433184.44,5851.75,3901.05,-79.85,-79.85
Phoenix Mills Ltd.,PHOENIXLTD,Realty,EQ,1183.7,1214,1162.8,1183.7,1173.05,-10.65,-10.65,172501,205640167.1,1244.95,793.4,-10.65,-10.65
Pidilite Industries Ltd.,PIDILITIND,Chemicals,EQ,2099.95,2164.35,2082.8,2089.9,2158,68.1,68.1,501109,1067727980,2764.7,1988.55,68.1,68.1
PI Industries Ltd.,PIIND,Chemicals,EQ,2559.5,2590.25,2511.95,2559.5,2576.1,16.6,16.6,79059,202265336.2,3534.9,2333.55,16.6,16.6
Punjab National Bank,PNB,Financial Services,EQ,29.05,29.6,28.75,29,29.55,0.55,0.55,17767070,518087761.2,48.2,28.05,0.55,0.55
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,EQ,329.55,329.55,324.65,330.3,327.55,-2.75,-2.75,59692,19533610.08,784.4,311.45,-2.75,-2.75
PNC Infratech Ltd.,PNCINFRA,Construction,EQ,243,243,236.05,242.15,237.65,-4.5,-4.5,90779,21687103.1,395.9,219,-4.5,-4.5
PB Fintech Ltd.,POLICYBZR,Financial Services,EQ,571.95,603,571.4,572.95,585.05,12.1,12.1,543062,322052057.9,1470,540.1,12.1,12.1
Polycab India Ltd.,POLYCAB,Capital Goods,EQ,2202.5,2216.8,2156.25,2201.2,2180,-21.2,-21.2,409500,894397140,2820,1762,-21.2,-21.2
Poly Medicure Ltd.,POLYMED,Healthcare,EQ,750.9,769.15,729.4,750.85,738.95,-11.9,-11.9,23654,17687988.12,1094.25,651.1,-11.9,-11.9
Polyplex Corporation Ltd.,POLYPLEX,Capital Goods,EQ,2204,2248.65,2167.95,2202.3,2236,33.7,33.7,146621,324750852.9,2870.2,1325.45,33.7,33.7
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,EQ,227.5,232,224.1,227.7,230.45,2.75,2.75,2033688,465165456.2,343.8,140.75,2.75,2.75
Power Grid Corporation of India Ltd.,POWERGRID,Power,EQ,211.05,212.9,205.2,211.9,206.55,-5.35,-5.35,8350248,1735766052,248.35,167.15,-5.35,-5.35
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods,EQ,3168.3,3175,3092,3151.7,3100,-51.7,-51.7,17764,55873997.4,4042.6,1741,-51.7,-51.7
Praj Industries Ltd.,PRAJIND,Capital Goods,EQ,364.9,364.9,357.4,363.9,358.5,-5.4,-5.4,207864,74752051.68,448,289.05,-5.4,-5.4
Prestige Estates Projects Ltd.,PRESTIGE,Realty,EQ,385,391.75,381.1,387.15,387.4,0.25,0.25,209983,81070236.64,554.9,284,0.25,0.25
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Capital Goods,EQ,593.15,603,590.15,598.15,594.5,-3.65,-3.65,51385,30605933.7,897,549.3,-3.65,-3.65
Privi Speciality Chemicals Ltd.,PRIVISCL,Chemicals,EQ,1075.75,1076,1040,1087.3,1072,-15.3,-15.3,16783,17740470.15,2249,1015.3,-15.3,-15.3
Prism Johnson Ltd.,PRSMJOHNSN,Construction Materials,EQ,107.95,108.45,106.1,107.95,107.5,-0.45,-0.45,24056,2587222.8,160,96.65,-0.45,-0.45
PVR Ltd.,PVR,Media Entertainment & Publication,EQ,1860.85,1895,1828.9,1860.85,1888,27.15,27.15,358082,664456959.2,2003.8,1224.05,27.15,27.15
Quess Corp Ltd.,QUESS,Services,EQ,613.5,613.5,592.1,613.65,598.5,-15.15,-15.15,76594,46016143.32,989.9,527.4,-15.15,-15.15
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,EQ,872,898.9,860.25,872.5,871.85,-0.65,-0.65,257073,226039147.4,1294,723.2,-0.65,-0.65
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,EQ,91.15,91.65,90.7,91.1,91.05,-0.05,-0.05,162424,14801699.12,150.4,84,-0.05,-0.05
Rain Industries Ltd,RAIN,Chemicals,EQ,145.5,149.55,144.1,146.5,148.75,2.25,2.25,946679,139067145.1,272.75,128.6,2.25,2.25
Rajesh Exports Ltd.,RAJESHEXPO,Consumer Durables,EQ,622,630.85,615,625.4,621,-4.4,-4.4,128888,79999492.72,994.7,518.5,-4.4,-4.4
Rallis India Ltd.,RALLIS,Chemicals,EQ,189,189.6,186.35,188.65,188.8,0.15,0.15,219820,41279997.8,341.85,182.5,0.15,0.15
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,EQ,634,648.95,613.75,636.8,646,9.2,9.2,327788,209502422.3,1132.7,575.65,9.2,9.2
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Capital Goods,EQ,1634.05,1659.7,1553.55,1654.4,1580,-74.4,-74.4,107552,170150490.6,1913.7,1237.07,-74.4,-74.4
Restaurant Brands Asia Ltd.,RBA,Consumer Services,EQ,112,113.05,108.85,111,109.7,-1.3,-1.3,978252,108732709.8,189.7,86.5,-1.3,-1.3
RBL Bank Ltd.,RBLBANK,Financial Services,EQ,82.95,86.7,82.1,83.45,85.95,2.5,2.5,16258460,1376278639,226.4,74.15,2.5,2.5
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Chemicals,EQ,77.95,78.7,76.1,78.15,78.7,0.55,0.55,1110880,86082091.2,112.65,66,0.55,0.55
REC Ltd.,RECLTD,Financial Services,EQ,122.8,126,120.1,123.75,125.75,2,2,19076925,2358671007,168.85,109.65,2,2
Redington (India) Ltd.,REDINGTON,Services,EQ,125,128,122.6,125.55,127.4,1.85,1.85,1081859,135340560.9,179.2,109.4,1.85,1.85
Relaxo Footwears Ltd.,RELAXO,Consumer Durables,EQ,961,979,960.1,963.85,970.45,6.6,6.6,41820,40657822.2,1448,925,6.6,6.6
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels,EQ,2574.9,2592,2365,2595.65,2406,-189.65,-189.65,37841671,92119871799,2856.15,2016.25,-189.65,-189.65
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods,EQ,46.5,46.5,45.1,46.4,45.6,-0.8,-0.8,8262303,377752493.2,63.2,21.5,-0.8,-0.8
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods,EQ,502.5,513.95,497.65,501.5,501.95,0.45,0.45,165626,83506972.94,674,317.3,0.45,0.45
RITES Ltd.,RITES,Construction,EQ,234,235.15,232.25,234.85,234.95,0.1,0.1,29804,6981288.96,317.9,226.2,0.1,0.1
Rossari Biotech Ltd.,ROSSARI,Chemicals,EQ,880.8,882,850.4,873.05,874.8,1.75,1.75,20002,17471947.02,1619,795.1,1.75,1.75
Route Mobile Ltd.,ROUTE,Telecommunication,EQ,1242,1290,1241.05,1242.85,1267,24.15,24.15,655866,830962546,2389,1052,24.15,24.15
RattanIndia Enterprises Ltd.,RTNINDIA,Services,EQ,43,43.2,41.2,42.4,41.75,-0.65,-0.65,622861,26029361.19,71,30.5,-0.65,-0.65
Rail Vikas Nigam Ltd.,RVNL,Construction,EQ,30.1,30.25,29.8,30,30,0,0,763473,22896555.27,44.8,27.5,0,0
Steel Authority of India Ltd.,SAIL,Metals & Mining,EQ,68.2,70.2,67.85,68.55,69.9,1.35,1.35,20563587,1415391693,145.9,63.6,1.35,1.35
Sanofi India Ltd.,SANOFI,Healthcare,EQ,6415,6435.05,6333,6437.4,6376.85,-60.55,-60.55,11452,72904577.2,9285,6333,-60.55,-60.55
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services,EQ,1084,1104,1070.45,1085,1086,1,1,145969,157913643.3,1540,909,1,1
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication,EQ,362.9,368.95,353.65,361.95,359.95,-2,-2,120158,43447931.22,550.59,295.3,-2,-2
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services,EQ,767.8,777.55,763.75,768.25,771.85,3.6,3.6,1073345,829083878.4,1165,655.7,3.6,3.6
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,EQ,1085.45,1105.35,1075,1081.6,1100.25,18.65,18.65,696341,760118872.2,1293.25,996.05,18.65,18.65
State Bank of India,SBIN,Financial Services,EQ,463.35,468.8,460.55,465.9,468.5,2.6,2.6,9405495,4374119505,549,401.25,2.6,2.6
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components,EQ,2289,2289,2250,2290.5,2260,-30.5,-30.5,46062,104262718.9,9700,1598,-30.5,-30.5
Shipping Corporation of India Ltd.,SCI,Services,EQ,97.25,98,95.75,97.65,96.85,-0.8,-0.8,367655,35618416.4,160.2,85.6,-0.8,-0.8
Sequent Scientific Ltd.,SEQUENT,Healthcare,EQ,93.55,93.55,91.2,92.85,93,0.15,0.15,625299,57690085.74,328.7,82,0.15,0.15
Sheela Foam Ltd.,SFL,Consumer Durables,EQ,2649,2679,2612,2660.45,2651,-9.45,-9.45,3071,8128230.67,4055,2185.6,-9.45,-9.45
Shilpa Medicare Ltd.,SHILPAMED,Healthcare,EQ,389.35,398,381,389.35,397.75,8.4,8.4,69762,27260896.74,670.4,380,8.4,8.4
Shree Cement Ltd.,SHREECEM,Construction Materials,EQ,19050,19272,18898.85,19009.7,19233.05,223.35,223.35,17699,338754081.3,31469.95,17865.2,223.35,223.35
Shriram City Union Finance Ltd.,SHRIRAMCIT,Financial Services,EQ,1660.55,1707.05,1657.25,1660.55,1705.9,45.35,45.35,35205,59115883.95,2602,1416.05,45.35,45.35
Shyam Metalics and Energy Ltd.,SHYAMMETL,Metals & Mining,EQ,282,282.45,275.7,280.45,277,-3.45,-3.45,62789,17444667.87,461.15,273.1,-3.45,-3.45
Siemens Ltd.,SIEMENS,Capital Goods,EQ,2381,2425,2366.3,2400.45,2410,9.55,9.55,208443,502199635.5,2576.85,1920,9.55,9.55
SIS Ltd.,SIS,Services,EQ,456,456,449.8,453.9,452,-1.9,-1.9,29489,13327553.55,560,420,-1.9,-1.9
SJVN Ltd.,SJVN,Power,EQ,26.8,27.55,26.7,26.9,27.4,0.5,0.5,834442,22588344.94,33.75,25.35,0.5,0.5
SKF India Ltd.,SKFINDIA,Capital Goods,EQ,3620,3786.65,3578.05,3637.8,3720,82.2,82.2,68901,249967315.9,4239.95,2502.3,82.2,82.2
Sobha Ltd.,SOBHA,Realty,EQ,569,577.9,551.3,577.05,555,-22.05,-22.05,338751,191191064.4,1044.95,462,-22.05,-22.05
Solara Active Pharma Sciences Ltd.,SOLARA,Healthcare,EQ,350,354.55,341,352.3,346,-6.3,-6.3,56960,19701324.8,1827,320,-6.3,-6.3
Solar Industries India Ltd.,SOLARINDS,Chemicals,EQ,2725.2,2769.95,2702.2,2745.3,2715,-30.3,-30.3,53477,145652096.3,3189.95,1550,-30.3,-30.3
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components,EQ,551.1,570,547,553.8,569,15.2,15.2,352045,197391631.5,839.9,333.25,15.2,15.2
Sonata Software Ltd.,SONATSOFTW,Information Technology,EQ,669.45,671.95,655,669.45,655,-14.45,-14.45,57392,38285055.36,1024.9,610.1,-14.45,-14.45
